Flight,Price,Currency,Stop,Duration,Date
BRU,"52,349",AMD,1 stop,9h 10m,2025-02-11
SAW,"78,242",AMD,1 stop,23h 55m,2025-02-11
WAW,"45,537",AMD,1 stop,12h 35m,2025-02-11
WAW,"42,766",AMD,1 stop,26h 10m,2025-02-11
TBS,"95,605",AMD,1 stop,8h 10m,2025-02-11
TBS,"165,369",AMD,1 stop,19h 20m,2025-02-11
DUS,"39,542",AMD,1 stop,12h 40m,2025-02-11
SSH,"66,423",AMD,1 stop,20h,2025-02-11
AUH,"57,933",AMD,1 stop,15h 05m,2025-02-11
AMS,"39,542",AMD,1 stop,8h 45m,2025-02-11
VLC,"34,290",AMD,1 stop,15h 35m,2025-02-11
BCN,"40,300",AMD,1 stop,10h 15m,2025-02-11
BRU,"37,610",AMD,1 stop,8h,2025-02-11
MAD,"39,542",AMD,1 stop,11h 30m,2025-02-11
BKK,"292,606",AMD,1 stop,16h,2025-02-11
AMS,"39,542",AMD,1 stop,12h 40m,2025-02-11
PRG,"28,773",AMD,1 stop,11h 40m,2025-02-11
IST,"208,492",AMD,1 stop,5h 15m,2025-02-11
PRG,"39,542",AMD,1 stop,6h 25m,2025-02-11
NCE,"23,786",AMD,1 stop,25h 15m,2025-02-11
WAW,"33,530",AMD,1 stop ∙ Change airport,20h 20m,2025-02-11
BUS,"39,158",AMD,1 stop,10h 05m,2025-02-11
MAD,"34,736",AMD,1 stop,10h 15m,2025-02-11
BKK,"292,606",AMD,1 stop,21h 20m,2025-02-11
BER,"35,671",AMD,1 stop,10h 05m,2025-02-11
BRU,"53,795",AMD,1 stop,26h 15m,2025-02-11
BER,"43,177",AMD,1 stop,13h 05m,2025-02-11
BCN,"444,692",AMD,1 stop,22h 40m,2025-02-11
WAW,"62,836",AMD,1 stop,15h 20m,2025-02-11
TBS,"81,151",AMD,1 stop,21h 30m,2025-02-11
LYS,"30,875",AMD,1 stop,14h 35m,2025-02-11
BCN,"21,629",AMD,1 stop,25h 15m,2025-02-11
BKK,"294,157",AMD,1 stop,24h 55m,2025-02-11
IST,"307,072",AMD,1 stop,26h 40m,2025-02-11
SOF,"39,136",AMD,1 stop,9h 10m,2025-02-11
DXB,"168,307",AMD,1 stop,25h 20m,2025-02-11
SAW,"230,087",AMD,1 stop,28h 40m,2025-02-11
BRU,"233,890",AMD,1 stop,26h 30m,2025-02-11
AMS,"26,718",AMD,1 stop,11h 50m,2025-02-11
RMO,"60,821",AMD,1 stop,7h 25m,2025-02-11
MAD,"58,359",AMD,1 stop,24h 15m,2025-02-11
LYS,"39,542",AMD,1 stop,9h 50m,2025-02-11
IST,"484,164",AMD,1 stop,10h 35m,2025-02-11
IST,"37,622",AMD,Direct,2h 30m,2025-02-11
BCN,"434,285",AMD,1 stop,27h 15m,2025-02-11
RMO,"56,031",AMD,Direct,2h 40m,2025-02-12
ATH,"40,503",AMD,1 stop,10h 05m,2025-02-12
SHJ,"94,111",AMD,1 stop,23h 15m,2025-02-12
BER,"138,163",AMD,1 stop,12h 45m,2025-02-12
BCN,"32,944",AMD,1 stop,8h 55m,2025-02-12
BER,"138,163",AMD,1 stop,16h 45m,2025-02-12
HKT,"355,162",AMD,1 stop,20h 30m,2025-02-12
NCE,"69,496",AMD,1 stop,7h 35m,2025-02-12
ATH,"43,754",AMD,1 stop,12h 55m,2025-02-12
RMO,"63,926",AMD,1 stop,31h 20m,2025-02-12
TLV,"59,791",AMD,1 stop,15h 15m,2025-02-12
BER,"138,163",AMD,1 stop,17h 45m,2025-02-12
TSF,"69,851",AMD,1 stop,6h 25m,2025-02-12
AUH,"91,396",AMD,1 stop,18h 15m,2025-02-12
SSH,"151,540",AMD,1 stop,10h 10m,2025-02-12
BEG,"69,515",AMD,1 stop,7h 30m,2025-02-12
SSH,"72,432",AMD,1 stop,21h 20m,2025-02-12
BER,"148,543",AMD,1 stop,29h 45m,2025-02-12
SOF,"59,623",AMD,1 stop,7h 55m,2025-02-12
VIE,"61,047",AMD,1 stop,7h 35m,2025-02-12
BER,"253,068",AMD,1 stop,13h 40m,2025-02-12
BER,"128,457",AMD,1 stop,13h 35m,2025-02-12
MAD,"37,195",AMD,1 stop,11h 55m,2025-02-12
BER,"145,154",AMD,1 stop,20h 15m,2025-02-12
NCE,"42,634",AMD,1 stop,10h 30m,2025-02-12
TLV,"78,877",AMD,1 stop,11h,2025-02-12
DXB,"63,332",AMD,Direct,3h 10m,2025-02-12
RMO,"83,835",AMD,1 stop,11h 30m,2025-02-12
BER,"128,457",AMD,1 stop,7h 50m,2025-02-12
FRA,"62,065",AMD,1 stop,10h 40m,2025-02-12
BKK,"292,617",AMD,1 stop,20h 30m,2025-02-12
LYS,"87,544",AMD,1 stop,9h 20m,2025-02-12
LYS,"81,412",AMD,1 stop,8h 05m,2025-02-12
LCA,"80,655",AMD,1 stop,12h 45m,2025-02-12
RMO,"167,990",AMD,1 stop,26h 55m,2025-02-12
BEG,"73,175",AMD,1 stop,10h 40m,2025-02-12
BER,"128,457",AMD,1 stop,11h 40m,2025-02-12
BUD,"109,980",AMD,1 stop,7h 30m,2025-02-12
VIE,"13,989",AMD,Direct,4h,2025-02-12
VIE,"35,714",AMD,1 stop,11h 55m,2025-02-12
RMO,"57,215",AMD,1 stop,21h 45m,2025-02-12
AMS,"63,723",AMD,1 stop,9h 25m,2025-02-12
AMS,"39,021",AMD,1 stop,9h 05m,2025-02-12
BER,"71,630",AMD,1 stop,20h 35m,2025-02-12
LCA,"83,238",AMD,1 stop,12h 55m,2025-02-12
TLV,"45,495",AMD,1 stop,6h 20m,2025-02-12
AUH,"23,798",AMD,Direct,3h 10m,2025-02-12
BUD,"66,424",AMD,1 stop,12h 15m,2025-02-12
VLC,"18,037",AMD,1 stop,17h,2025-02-12
FRA,"65,951",AMD,1 stop,11h 40m,2025-02-12
BEG,"52,230",AMD,1 stop,8h 15m,2025-02-12
RMO,"62,809",AMD,1 stop,5h 45m,2025-02-12
BER,"67,168",AMD,1 stop,6h 05m,2025-02-12
AUH,"27,328",AMD,Direct,3h 10m,2025-02-12
CRL,"39,542",AMD,1 stop,8h 05m,2025-02-12
TBS,"25,725",AMD,Direct,30m,2025-02-12
DTM,"52,611",AMD,1 stop,33h 55m,2025-02-12
BRU,"46,128",AMD,1 stop,10h 45m,2025-02-12
BER,"54,450",AMD,1 stop,12h 20m,2025-02-12
BKK,"188,117",AMD,1 stop,19h 40m,2025-02-12
WAW,"44,770",AMD,1 stop,6h 30m,2025-02-12
BER,"138,163",AMD,1 stop,8h 45m,2025-02-12
MAD,"39,542",AMD,1 stop,9h 50m,2025-02-12
BER,"45,864",AMD,1 stop,8h 50m,2025-02-12
SAW,"36,342",AMD,1 stop,13h 20m,2025-02-12
DTM,"33,398",AMD,1 stop,11h 15m,2025-02-12
BER,"138,163",AMD,1 stop,9h 45m,2025-02-12
DUS,"42,766",AMD,1 stop,15h 25m,2025-02-12
BER,"150,364",AMD,1 stop,8h 20m,2025-02-12
RMO,"184,492",AMD,1 stop,8h 50m,2025-02-12
VLC,"37,879",AMD,1 stop,16h 10m,2025-02-12
TBS,"21,417",AMD,Direct,1h,2025-02-12
DUS,"39,542",AMD,1 stop,9h 20m,2025-02-12
BEG,"76,792",AMD,1 stop,10h 55m,2025-02-12
TBS,"41,490",AMD,1 stop,10h 35m,2025-02-12
VCE,"42,914",AMD,1 stop,7h 20m,2025-02-12
VLC,"67,708",AMD,1 stop,8h 10m,2025-02-12
SHJ,"92,914",AMD,1 stop,7h 30m,2025-02-12
RMO,"63,926",AMD,1 stop,26h 20m,2025-02-12
BER,"138,163",AMD,1 stop,14h 45m,2025-02-12
BER,"128,457",AMD,1 stop,19h 30m,2025-02-12
TGD,"85,306",AMD,1 stop,11h 25m,2025-02-12
SHJ,"46,524",AMD,Direct,2h 55m,2025-02-12
TLV,"82,754",AMD,1 stop,5h 45m,2025-02-12
LYS,"39,542",AMD,1 stop,13h 25m,2025-02-12
BER,"128,457",AMD,1 stop,17h 35m,2025-02-12
FRA,"39,542",AMD,1 stop,12h 30m,2025-02-12
VIE,"44,534",AMD,Direct,3h 45m,2025-02-12
CRL,"34,233",AMD,1 stop ∙ Change airport,11h 45m,2025-02-12
TLV,"75,516",AMD,1 stop,9h 50m,2025-02-12
ATH,"33,782",AMD,1 stop,5h 30m,2025-02-12
FRA,"39,542",AMD,1 stop,8h 30m,2025-02-12
PRG,"68,344",AMD,1 stop,7h 45m,2025-02-12
SOF,"65,433",AMD,1 stop,14h 05m,2025-02-12
TGD,"85,231",AMD,1 stop,11h 35m,2025-02-12
TGD,"95,121",AMD,1 stop,26h 35m,2025-02-12
BER,"127,366",AMD,1 stop,7h 40m,2025-02-12
WAW,"42,766",AMD,1 stop,12h 50m,2025-02-12
LYS,"21,708",AMD,1 stop,7h 50m,2025-02-12
SAW,"36,869",AMD,1 stop,14h 15m,2025-02-12
SAW,"27,254",AMD,Direct,2h 30m,2025-02-12
BER,"145,154",AMD,1 stop,18h 45m,2025-02-12
BER,"128,457",AMD,1 stop,5h 40m,2025-02-12
RMO,"96,982",AMD,1 stop,21h 55m,2025-02-12
BCN,"42,998",AMD,1 stop,9h 45m,2025-02-12
NCE,"39,542",AMD,1 stop,12h 20m,2025-02-12
BKK,"167,480",AMD,1 stop,10h 15m,2025-02-12
VLC,"50,004",AMD,1 stop,9h 45m,2025-02-12
FRA,"65,859",AMD,1 stop,9h 05m,2025-02-12
NCE,"77,702",AMD,1 stop,11h 25m,2025-02-12
RMO,"23,620",AMD,1 stop,22h 20m,2025-02-12
PRG,"37,238",AMD,1 stop,11h 15m,2025-02-12
TBS,"87,635",AMD,1 stop,19h 20m,2025-02-12
BCN,"27,942",AMD,1 stop,7h 50m,2025-02-12
BER,"138,163",AMD,1 stop,7h 45m,2025-02-12
DTM,"80,348",AMD,1 stop,7h,2025-02-12
BER,"75,277",AMD,1 stop,15h 55m,2025-02-12
VLC,"31,207",AMD,1 stop,10h 50m,2025-02-12
LCA,"59,479",AMD,1 stop,9h 50m,2025-02-12
BER,"138,163",AMD,1 stop,15h 45m,2025-02-12
AUH,"164,557",AMD,1 stop,7h 10m,2025-02-12
WAW,"84,603",AMD,Direct,4h,2025-02-12
TSF,"33,368",AMD,1 stop,16h 55m,2025-02-12
DUS,"47,472",AMD,1 stop,13h 25m,2025-02-12
WAW,"46,775",AMD,1 stop,7h 40m,2025-02-12
TLV,"42,212",AMD,1 stop,5h 40m,2025-02-12
TLV,"49,584",AMD,1 stop,14h 35m,2025-02-12
MAD,"29,174",AMD,1 stop,13h 05m,2025-02-12
RMO,"101,994",AMD,1 stop ∙ Change airport,25h 30m,2025-02-12
SHJ,"151,612",AMD,1 stop,7h 30m,2025-02-12
AMS,"64,250",AMD,1 stop,9h 50m,2025-02-12
VCE,"42,914",AMD,1 stop,15h 40m,2025-02-12
BRU,"36,831",AMD,1 stop,8h 35m,2025-02-12
CRL,"39,542",AMD,1 stop,11h 35m,2025-02-12
SSH,"119,293",AMD,Direct,3h 30m,2025-02-12
HKT,"190,395",AMD,1 stop,20h 10m,2025-02-12
HKT,"322,761",AMD,1 stop,25h 05m,2025-02-12
BER,"115,145",AMD,1 stop,7h 55m,2025-02-12
PRG,"28,773",AMD,1 stop,8h 40m,2025-02-12
HKT,"169,636",AMD,1 stop,10h 55m,2025-02-12
LCA,"16,596",AMD,Direct,2h 20m,2025-02-12
IST,"38,006",AMD,1 stop,8h 55m,2025-02-12
BER,"107,024",AMD,1 stop,12h 10m,2025-02-12
PRG,"68,128",AMD,1 stop,7h 35m,2025-02-12
WAW,"62,836",AMD,1 stop,7h 10m,2025-02-12
BER,"36,831",AMD,1 stop,11h 45m,2025-02-12
BUD,"77,230",AMD,1 stop,7h 30m,2025-02-12
BKK,"298,919",AMD,1 stop,13h,2025-02-12
SSH,"93,862",AMD,1 stop,24h 25m,2025-02-12
LCA,"22,646",AMD,Direct,2h 10m,2025-02-12
SOF,"25,864",AMD,1 stop,9h 40m,2025-02-12
PRG,"62,590",AMD,1 stop,9h 35m,2025-02-12
BER,"63,035",AMD,1 stop,15h 05m,2025-02-12
SOF,"50,679",AMD,1 stop,9h 55m,2025-02-12
BEG,"67,576",AMD,1 stop,7h 40m,2025-02-12
TSF,"33,368",AMD,1 stop,6h 15m,2025-02-12
TLV,"46,581",AMD,1 stop,4h 50m,2025-02-12
SAW,"36,869",AMD,1 stop,10h 05m,2025-02-12
DUS,"39,542",AMD,1 stop,12h 40m,2025-02-12
BCN,"34,290",AMD,1 stop,7h 30m,2025-02-12
BUD,"25,679",AMD,1 stop,10h 25m,2025-02-12
SSH,"82,214",AMD,1 stop,20h,2025-02-12
AMS,"39,542",AMD,1 stop,8h 45m,2025-02-12
VIE,"34,166",AMD,1 stop,7h 45m,2025-02-12
MAD,"39,542",AMD,1 stop,11h 30m,2025-02-12
AMS,"39,542",AMD,1 stop,12h 40m,2025-02-12
BER,"37,048",AMD,1 stop,17h 10m,2025-02-12
NCE,"23,786",AMD,1 stop,11h 55m,2025-02-12
MAD,"27,942",AMD,1 stop,8h 55m,2025-02-12
BCN,"37,069",AMD,1 stop,8h 20m,2025-02-12
ATH,"36,854",AMD,Direct,2h 55m,2025-02-12
BUD,"64,971",AMD,1 stop,11h 40m,2025-02-12
BER,"99,903",AMD,1 stop,11h 15m,2025-02-12
HKT,"321,580",AMD,1 stop,13h 10m,2025-02-12
ATH,"44,798",AMD,1 stop,6h 05m,2025-02-12
AUH,"81,612",AMD,1 stop,23h 45m,2025-02-12
BKK,"292,617",AMD,1 stop,16h,2025-02-12
BER,"115,145",AMD,1 stop,11h,2025-02-12
DUS,"51,656",AMD,1 stop,8h 15m,2025-02-12
TGD,"37,622",AMD,1 stop,9h 50m,2025-02-12
TBS,"85,932",AMD,1 stop,19h 50m,2025-02-12
BER,"75,462",AMD,1 stop,26h 30m,2025-02-12
BER,"128,457",AMD,1 stop,16h 10m,2025-02-12
TLV,"64,749",AMD,1 stop,12h 30m,2025-02-12
BER,"138,163",AMD,1 stop,10h 45m,2025-02-12
LYS,"39,542",AMD,1 stop,9h 50m,2025-02-12
WAW,"55,240",AMD,1 stop ∙ Change airport,14h,2025-02-13
DXB,"104,956",AMD,1 stop,16h 30m,2025-02-13
BER,"46,839",AMD,1 stop,8h 50m,2025-02-13
AUH,"106,642",AMD,1 stop,7h 10m,2025-02-13
BUD,"60,145",AMD,1 stop,9h 05m,2025-02-13
BCN,"32,098",AMD,1 stop,9h 50m,2025-02-13
IST,"40,346",AMD,1 stop,13h 20m,2025-02-13
RMO,"62,809",AMD,1 stop,7h 05m,2025-02-13
LCA,"49,527",AMD,1 stop,8h 45m,2025-02-13
MAD,"34,853",AMD,1 stop,10h 40m,2025-02-13
BKK,"297,218",AMD,1 stop,13h,2025-02-13
FRA,"63,774",AMD,1 stop,9h 40m,2025-02-13
FRA,"41,090",AMD,1 stop,15h 45m,2025-02-13
BKK,"292,598",AMD,1 stop,20h 30m,2025-02-13
LYS,"100,985",AMD,1 stop,7h 45m,2025-02-13
TLV,"45,072",AMD,1 stop,5h 55m,2025-02-13
PRG,"39,713",AMD,1 stop,11h 25m,2025-02-13
SOF,"50,793",AMD,1 stop,10h 30m,2025-02-13
RMO,"87,222",AMD,1 stop,11h 20m,2025-02-13
NCE,"33,530",AMD,1 stop,9h 55m,2025-02-13
ATH,"39,682",AMD,1 stop,5h 30m,2025-02-13
BUD,"52,226",AMD,1 stop,12h 15m,2025-02-13
DTM,"33,398",AMD,1 stop,9h 55m,2025-02-13
BUD,"114,223",AMD,1 stop,21h 10m,2025-02-13
SOF,"59,623",AMD,1 stop,7h 55m,2025-02-13
LYS,"39,158",AMD,1 stop,9h 50m,2025-02-13
RMO,"28,002",AMD,1 stop,21h 40m,2025-02-13
SSH,"54,519",AMD,1 stop,12h 50m,2025-02-13
BCN,"35,593",AMD,1 stop,7h 30m,2025-02-13
BUD,"45,659",AMD,1 stop ∙ Change airport,11h 35m,2025-02-13
TLV,"44,641",AMD,1 stop,4h 50m,2025-02-13
RMO,"57,699",AMD,1 stop,6h 50m,2025-02-13
SAW,"47,980",AMD,1 stop,8h 55m,2025-02-13
DXB,"63,332",AMD,Direct,3h 10m,2025-02-13
BUD,"70,571",AMD,1 stop,7h 30m,2025-02-13
ATH,"23,712",AMD,1 stop,10h 45m,2025-02-13
SSH,"55,383",AMD,1 stop,22h 50m,2025-02-13
TBS,"80,414",AMD,1 stop,10h 35m,2025-02-13
VLC,"56,846",AMD,1 stop,15h 55m,2025-02-13
AMS,"38,006",AMD,1 stop,12h 40m,2025-02-13
PRG,"42,998",AMD,1 stop,11h 15m,2025-02-13
BCN,"27,942",AMD,1 stop,9h 55m,2025-02-13
DTM,"25,864",AMD,1 stop,21h 20m,2025-02-13
VIE,"13,989",AMD,Direct,4h,2025-02-13
NCE,"26,363",AMD,1 stop,22h 15m,2025-02-13
BUD,"111,430",AMD,1 stop,11h 35m,2025-02-13
AUH,"23,798",AMD,Direct,3h 10m,2025-02-13
BER,"50,295",AMD,1 stop,12h 20m,2025-02-13
BUD,"107,233",AMD,1 stop,15h 30m,2025-02-13
AMS,"41,462",AMD,1 stop,8h 45m,2025-02-13
FRA,"65,245",AMD,1 stop,8h 05m,2025-02-13
SAW,"36,342",AMD,1 stop,13h 20m,2025-02-13
SSH,"89,948",AMD,1 stop,15h 05m,2025-02-13
DUS,"50,765",AMD,1 stop,8h 15m,2025-02-13
SSH,"66,323",AMD,1 stop,23h 35m,2025-02-13
BKK,"297,218",AMD,1 stop,13h 40m,2025-02-13
RMO,"32,082",AMD,1 stop,12h 10m,2025-02-13
CRL,"38,774",AMD,1 stop,8h 30m,2025-02-13
RMO,"27,942",AMD,1 stop,14h,2025-02-13
BUD,"18,219",AMD,Direct,3h 40m,2025-02-13
DUS,"39,542",AMD,1 stop,9h 20m,2025-02-13
VLC,"23,030",AMD,1 stop,16h 30m,2025-02-13
DXB,"125,220",AMD,1 stop,11h 35m,2025-02-13
SSH,"81,523",AMD,Direct,3h 10m,2025-02-13
BER,"44,604",AMD,1 stop,16h 30m,2025-02-13
RMO,"63,926",AMD,1 stop,26h 20m,2025-02-13
RMO,"222,212",AMD,1 stop,17h 25m,2025-02-13
SHJ,"46,524",AMD,Direct,2h 55m,2025-02-13
PRG,"39,542",AMD,1 stop,8h 55m,2025-02-13
TGD,"30,108",AMD,1 stop,22h 40m,2025-02-13
AUH,"77,618",AMD,1 stop,28h 55m,2025-02-13
NCE,"29,258",AMD,1 stop,17h 15m,2025-02-13
BCN,"34,233",AMD,1 stop,9h 35m,2025-02-13
CRL,"33,099",AMD,1 stop,13h 45m,2025-02-13
FRA,"41,090",AMD,1 stop,12h 30m,2025-02-13
MAD,"34,467",AMD,1 stop,10h 20m,2025-02-13
WAW,"68,205",AMD,1 stop,6h 30m,2025-02-13
SAW,"41,462",AMD,Direct,2h 30m,2025-02-13
HKT,"407,193",AMD,1 stop,10h 45m,2025-02-13
FRA,"41,090",AMD,1 stop,8h 30m,2025-02-13
NCE,"92,805",AMD,1 stop,15h 55m,2025-02-13
ATH,"28,903",AMD,1 stop,10h 50m,2025-02-13
PRG,"34,934",AMD,1 stop,14h,2025-02-13
LCA,"57,230",AMD,1 stop,6h 25m,2025-02-13
CRL,"31,735",AMD,1 stop ∙ Change airport,11h 35m,2025-02-13
VLC,"18,037",AMD,1 stop,19h 05m,2025-02-13
WAW,"46,872",AMD,1 stop,7h 40m,2025-02-13
TLV,"42,212",AMD,1 stop,5h 15m,2025-02-13
IST,"58,580",AMD,1 stop,9h 25m,2025-02-13
RMO,"39,026",AMD,1 stop,18h 20m,2025-02-13
BER,"46,839",AMD,1 stop,6h 50m,2025-02-13
BUD,"107,233",AMD,1 stop,9h 40m,2025-02-13
SOF,"33,782",AMD,1 stop,5h 30m,2025-02-13
SOF,"47,135",AMD,1 stop,9h 50m,2025-02-13
WAW,"59,511",AMD,1 stop,15h 05m,2025-02-13
AMS,"47,125",AMD,1 stop ∙ Change airport,12h 05m,2025-02-13
HKT,"203,309",AMD,1 stop,16h 40m,2025-02-13
PRG,"33,530",AMD,1 stop,10h 45m,2025-02-13
TLV,"44,150",AMD,1 stop,8h 10m,2025-02-13
BUD,"34,726",AMD,1 stop,27h 40m,2025-02-13
BEG,"46,839",AMD,1 stop,8h 20m,2025-02-13
DUS,"49,911",AMD,1 stop,9h 35m,2025-02-13
BEG,"42,350",AMD,1 stop,11h 30m,2025-02-13
CRL,"38,774",AMD,1 stop,11h 35m,2025-02-13
LYS,"26,363",AMD,1 stop,9h 45m,2025-02-13
DUS,"42,998",AMD,1 stop,12h 40m,2025-02-13
IST,"39,926",AMD,Direct,2h 30m,2025-02-13
ATH,"44,798",AMD,1 stop,8h 50m,2025-02-13
VCE,"11,751",AMD,Direct,4h 25m,2025-02-13
BCN,"26,603",AMD,1 stop,11h,2025-02-13
SOF,"39,542",AMD,1 stop,7h 10m,2025-02-13
AUH,"261,504",AMD,1 stop,8h 05m,2025-02-13
HKT,"324,450",AMD,1 stop,13h 10m,2025-02-13
BRU,"40,414",AMD,1 stop,9h 50m,2025-02-13
VLC,"32,761",AMD,1 stop ∙ Change airport,22h 25m,2025-02-13
VLC,"45,923",AMD,1 stop,13h 50m,2025-02-13
BUD,"137,407",AMD,1 stop,15h 10m,2025-02-13
BKK,"142,843",AMD,1 stop,25h 30m,2025-02-13
BUD,"85,490",AMD,1 stop,11h 50m,2025-02-13
AUH,"57,929",AMD,1 stop,15h 05m,2025-02-13
LCA,"16,596",AMD,Direct,2h 20m,2025-02-13
BEG,"49,361",AMD,1 stop,7h 25m,2025-02-13
TGD,"92,660",AMD,1 stop,20h 35m,2025-02-13
DUS,"51,201",AMD,1 stop,13h 20m,2025-02-13
MAD,"32,246",AMD,1 stop,11h,2025-02-13
HKT,"362,458",AMD,1 stop,25h 05m,2025-02-13
SAW,"37,561",AMD,1 stop,10h 05m,2025-02-13
BUD,"42,741",AMD,1 stop,18h 20m,2025-02-13
BER,"38,199",AMD,1 stop,13h,2025-02-13
LCA,"21,417",AMD,Direct,2h 10m,2025-02-13
AMS,"27,517",AMD,1 stop,17h,2025-02-13
MAD,"25,334",AMD,1 stop,14h 45m,2025-02-13
RMO,"222,212",AMD,1 stop,8h 55m,2025-02-13
TBS,"71,343",AMD,1 stop,19h 10m,2025-02-13
LCA,"52,983",AMD,1 stop,6h 20m,2025-02-13
AUH,"119,802",AMD,1 stop,14h 25m,2025-02-13
VCE,"39,158",AMD,1 stop,10h 25m,2025-02-13
AUH,"270,543",AMD,1 stop,10h 10m,2025-02-13
AUH,"129,003",AMD,1 stop,15h 40m,2025-02-13
WAW,"38,485",AMD,1 stop,10h 20m,2025-02-13
TLV,"45,852",AMD,Direct,2h 40m,2025-02-13
DTM,"75,425",AMD,1 stop,35h 30m,2025-02-13
TBS,"105,586",AMD,1 stop,8h 10m,2025-02-13
AMS,"58,437",AMD,1 stop,8h 10m,2025-02-13
SHJ,"86,537",AMD,1 stop,21h 15m,2025-02-13
AUH,"103,545",AMD,1 stop,22h,2025-02-13
BKK,"189,693",AMD,1 stop,15h 45m,2025-02-13
LYS,"21,708",AMD,1 stop,9h 55m,2025-02-13
VCE,"46,003",AMD,1 stop,7h 20m,2025-02-13
BEG,"45,208",AMD,1 stop,12h 10m,2025-02-13
RMO,"23,786",AMD,1 stop,10h 20m,2025-02-13
VCE,"40,187",AMD,1 stop,12h 35m,2025-02-13
TBS,"50,121",AMD,1 stop,23h 15m,2025-02-13
TBS,"44,922",AMD,Direct,30m,2025-02-13
NCE,"47,994",AMD,1 stop,12h 35m,2025-02-13
TSF,"33,368",AMD,1 stop,12h 05m,2025-02-13
IST,"43,382",AMD,1 stop,6h 40m,2025-02-13
MAD,"29,174",AMD,1 stop,15h 10m,2025-02-13
BEG,"53,180",AMD,1 stop,8h 15m,2025-02-13
ATH,"39,861",AMD,Direct,2h 55m,2025-02-13
BUD,"33,530",AMD,1 stop,12h 30m,2025-02-13
BUD,"47,241",AMD,1 stop,13h 30m,2025-02-13
HKT,"325,599",AMD,1 stop,31h 10m,2025-02-13
SAW,"46,377",AMD,1 stop,7h 55m,2025-02-13
LYS,"26,021",AMD,1 stop,16h 45m,2025-02-13
TGD,"46,274",AMD,1 stop,13h 45m,2025-02-14
VLC,"24,182",AMD,1 stop,9h 05m,2025-02-14
RMO,"60,550",AMD,Direct,2h 40m,2025-02-14
NCE,"30,413",AMD,1 stop,22h 50m,2025-02-14
DUS,"41,090",AMD,1 stop,10h 10m,2025-02-14
LCA,"49,527",AMD,1 stop,8h 45m,2025-02-14
SSH,"156,076",AMD,1 stop,10h 10m,2025-02-14
BEG,"54,135",AMD,1 stop,9h 10m,2025-02-14
SOF,"45,591",AMD,1 stop,11h 20m,2025-02-14
CRL,"33,532",AMD,1 stop,17h 45m,2025-02-14
DUS,"41,090",AMD,1 stop,13h 30m,2025-02-14
SSH,"78,378",AMD,1 stop,22h 20m,2025-02-14
ATH,"37,238",AMD,Direct,2h 55m,2025-02-14
BKK,"279,768",AMD,1 stop,27h 15m,2025-02-14
BER,"46,576",AMD,1 stop,11h 25m,2025-02-14
DXB,"63,351",AMD,Direct,3h,2025-02-14
BEG,"69,515",AMD,1 stop,7h 30m,2025-02-14
BCN,"33,521",AMD,1 stop,10h 15m,2025-02-14
MAD,"39,158",AMD,1 stop,12h 20m,2025-02-14
TLV,"36,854",AMD,1 stop,13h 20m,2025-02-14
BEG,"51,447",AMD,1 stop,11h 30m,2025-02-14
VLC,"34,233",AMD,1 stop,17h 30m,2025-02-14
VCE,"69,880",AMD,1 stop,8h 10m,2025-02-14
AUH,"23,414",AMD,Direct,3h 10m,2025-02-14
NCE,"42,634",AMD,1 stop,10h 30m,2025-02-14
SHJ,"75,743",AMD,1 stop,25h 40m,2025-02-14
RMO,"50,117",AMD,1 stop,7h 55m,2025-02-14
BUD,"39,542",AMD,1 stop,13h 05m,2025-02-14
BER,"66,807",AMD,1 stop,13h 10m,2025-02-14
SSH,"45,687",AMD,1 stop,13h 40m,2025-02-14
AUH,"93,957",AMD,1 stop,14h 30m,2025-02-14
CRL,"39,542",AMD,1 stop,9h 20m,2025-02-14
TLV,"40,983",AMD,1 stop,28h 10m,2025-02-14
AMS,"53,320",AMD,1 stop,16h 20m,2025-02-14
HHN,"36,831",AMD,1 stop,10h 55m,2025-02-14
SHJ,"47,184",AMD,Direct,2h 55m,2025-02-14
VIE,"44,150",AMD,Direct,3h 45m,2025-02-14
BRU,"51,414",AMD,1 stop,12h 35m,2025-02-14
BUS,"39,158",AMD,1 stop,10h 35m,2025-02-14
SHJ,"102,924",AMD,1 stop,7h 30m,2025-02-14
VIE,"13,989",AMD,Direct,4h,2025-02-14
NCE,"40,919",AMD,1 stop,11h 55m,2025-02-14
BRU,"64,658",AMD,1 stop,8h 05m,2025-02-14
VIE,"41,038",AMD,1 stop,12h 45m,2025-02-14
WAW,"74,346",AMD,Direct,4h 05m,2025-02-14
BUD,"41,650",AMD,1 stop ∙ Change airport,13h 30m,2025-02-14
BEG,"92,049",AMD,1 stop,9h 35m,2025-02-14
BUD,"34,489",AMD,1 stop ∙ Change airport,18h 10m,2025-02-14
BEG,"52,230",AMD,1 stop,8h 15m,2025-02-14
MAD,"39,158",AMD,1 stop,10h 40m,2025-02-14
AUH,"27,328",AMD,Direct,3h 10m,2025-02-14
BKK,"295,298",AMD,1 stop,17h 10m,2025-02-14
BER,"73,309",AMD,1 stop,15h 15m,2025-02-14
BEG,"69,140",AMD,1 stop,8h 50m,2025-02-14
WAW,"44,770",AMD,1 stop,6h 30m,2025-02-14
DTM,"78,500",AMD,1 stop,7h 10m,2025-02-14
BEG,"84,945",AMD,1 stop,8h 50m,2025-02-14
